Week,    DateRange,          PlannedEffort,  ActualEffort,  OtherDeadlines
4, 29th Jan -  4th Feb,6,7,Networks; COMMS logbook
5,  5th Feb - 11th Feb,12,8,Comms lab; Summer internship interviews
6, 12th Feb - 18th Feb,12,17.5,Networks;  COMMS Lab; Databases; Maths
7, 19th Feb - 25th Feb,12,20.5,None
8, 26th Feb -  4th Feb,12,15,Database CW2; Regex/Lexers Test
9,  5th Mar - 11th Mar,12,24,Grammars/Parsers test
10, 12th Mar - 18th Mar,25,34,Compilers Codegen test; maths cw
11, 19th Mar - 25th Mar,25,19,
12,26th Mar - 30th Mar,5,4,
